date,AQI
08-12-18,107.8276948
10-12-18,110.3676146
18-12-18,112.601541
17-12-18,112.8559556
22-12-18,110.4418806
24-12-18,114.0827012
29-12-18,114.7633433
31-12-18,114.3890284
02-01-19,114.3333333
09-01-19,122.3333333
13-01-19,112.6666667
16-01-19,114.6666667
20-01-19,107.3333333
23-01-19,118.6666667
30-01-19,119.6666667
06-02-19,102.3333333
10-02-19,115.3333333
13-02-19,110.6666667
23-02-19,115.3333333
27-02-19,120.3333333
05-03-19,112
11-03-19,119.3333333
16-03-19,120
19-03-19,122
23-03-19,124.3333333
26-03-19,121.3333333
30-03-19,116.3333333
09-04-19,120.6666667
20-04-19,123.6666667
23-04-19,122.3333333
30-04-19,114.3333333
04-05-19,114.6666667
06-05-19,122.6666667
08-05-19,119.6666667
11-05-19,122
14-05-19,121.6666667
18-05-19,119.6666667
21-05-19,119.6666667
25-05-19,121
28-05-19,124.6666667
30-05-19,117.3333333
01-06-19,101.6666667
03-06-19,101.6666667
08-06-19,105.6666667
11-06-19,116
19-06-19,107
18-06-19,108.6666667
22-06-19,109.6666667
26-06-19,104.3333333
02-07-19,102.3333333
06-07-19,105.6666667
09-07-19,115.6666667
13-07-19,109.3333333
10-08-19,111.6666667
12-08-19,111
20-08-19,113.6666667
07-09-19,114.6666667
21-09-19,111
24-09-19,112
28-09-19,106
01-10-19,115
08-10-19,118
12-10-19,113
19-10-19,114.3333333
26-10-19,117.3333333
03-12-19,121.6666667
07-12-19,120.3333333
10-12-19,116
14-12-19,123
17-12-19,125.3333333
21-12-19,120.6666667
24-12-19,115.6666667
28-12-19,121
31-12-19,112.3333333
01-01-20,151.6666667
02-01-20,141.6666667
03-01-20,111.6666667
04-01-20,153.3333333
05-01-20,116.25
06-01-20,132.5
07-01-20,132.5
08-01-20,132
09-01-20,124.6666667
10-01-20,120
11-01-20,117.5
12-01-20,113
13-01-20,127.3333333
14-01-20,139.3333333
16-01-20,123.6666667
17-01-20,132.5
18-01-20,126.25
19-01-20,131.25
20-01-20,120
21-01-20,115.3333333
22-01-20,131.3333333
23-01-20,111
24-01-20,131
25-01-20,162
26-01-20,186
27-01-20,150
28-01-20,152
29-01-20,132.5
30-01-20,125
31-01-20,117.5
01-03-20,96
02-03-20,100
03-03-20,98.75
04-03-20,92.5
05-03-20,95
06-03-20,92.5
07-03-20,100
08-03-20,93.75
09-03-20,104
11-03-20,102.5
12-03-20,96.25
13-03-20,97.5
14-03-20,95
15-03-20,106
16-03-20,113.3333333
17-03-20,140
18-03-20,136.6666667
19-03-20,130.6666667
20-03-20,102
21-03-20,103.75
22-03-20,97.5
23-03-20,100
24-03-20,95
25-03-20,102
26-03-20,105
27-03-20,100
28-03-20,95
29-03-20,97.5
31-03-20,98.75
08-04-20,104
09-04-20,106
10-04-20,101
11-04-20,97
13-04-20,94
14-04-20,115
15-04-20,95
16-04-20,111
17-04-20,122
18-04-20,107
19-04-20,120
20-04-20,120
21-04-20,110
25-04-20,101
30-04-20,109
01-05-20,114
02-05-20,86
03-05-20,89
04-05-20,110
05-05-20,88
06-05-20,88
07-05-20,89
08-05-20,93
09-05-20,96
10-05-20,95
11-05-20,98
12-05-20,95
13-05-20,87
14-05-20,87
15-05-20,91
16-05-20,87
17-05-20,88
18-05-20,95
19-05-20,100
20-05-20,103
21-05-20,95
22-05-20,92
23-05-20,88
24-05-20,87
25-05-20,85
26-05-20,
27-05-20,
28-05-20,
29-05-20,
30-05-20,
01-06-20,
02-06-20,
03-06-20,
07-06-20,
